ip,avg_download_speed,avg_upload_speed,avg_download_latency,avg_upload_latency,avg_download_jitter,avg_upload_jitter,download_speed_1,upload_speed_1,download_latency_1,upload_latency_1
185.18.250.0,11.665882476192955,-1,231,-1,-1,-1,11.665882476192955,-1,231,-1
185.18.250.1,11.993219033949254,-1,198,-1,-1,-1,11.993219033949254,-1,198,-1
185.18.250.2,14.257614818321905,-1,187,-1,-1,-1,14.257614818321905,-1,187,-1
185.18.250.3,13.63652789443534,-1,196,-1,-1,-1,13.63652789443534,-1,196,-1
185.18.250.4,14.937930471463517,-1,208,-1,-1,-1,14.937930471463517,-1,208,-1
185.18.250.5,14.39731377815216,-1,209,-1,-1,-1,14.39731377815216,-1,209,-1
185.18.250.6,10.169372423002875,-1,200,-1,-1,-1,10.169372423002875,-1,200,-1
185.18.250.7,11.510455990163903,-1,217,-1,-1,-1,11.510455990163903,-1,217,-1
185.18.250.8,15.835799231322069,-1,212,-1,-1,-1,15.835799231322069,-1,212,-1
185.18.250.9,14.646843189650133,-1,197,-1,-1,-1,14.646843189650133,-1,197,-1
185.18.250.10,14.200505168885197,-1,215,-1,-1,-1,14.200505168885197,-1,215,-1
185.18.250.11,11.588441931454467,-1,181,-1,-1,-1,11.588441931454467,-1,181,-1
185.18.250.12,13.64702196046025,-1,177,-1,-1,-1,13.64702196046025,-1,177,-1
185.18.250.13,13.870342843773763,-1,195,-1,-1,-1,13.870342843773763,-1,195,-1
185.18.250.14,12.196291754166758,-1,190,-1,-1,-1,12.196291754166758,-1,190,-1
185.18.250.15,14.601921503241243,-1,168,-1,-1,-1,14.601921503241243,-1,168,-1
185.18.250.16,14.640909281091364,-1,183,-1,-1,-1,14.640909281091364,-1,183,-1
185.18.250.17,13.055339462517145,-1,187,-1,-1,-1,13.055339462517145,-1,187,-1
185.18.250.18,11.489234257225252,-1,199,-1,-1,-1,11.489234257225252,-1,199,-1
185.18.250.19,15.813047713331517,-1,194,-1,-1,-1,15.813047713331517,-1,194,-1
185.18.250.20,12.974355618497617,-1,181,-1,-1,-1,12.974355618497617,-1,181,-1
185.18.250.21,11.976320060621147,-1,188,-1,-1,-1,11.976320060621147,-1,188,-1
185.18.250.22,15.315169924573546,-1,192,-1,-1,-1,15.315169924573546,-1,192,-1
185.18.250.23,14.12443891993554,-1,193,-1,-1,-1,14.12443891993554,-1,193,-1
185.18.250.25,13.799541886373918,-1,184,-1,-1,-1,13.799541886373918,-1,184,-1
185.18.250.26,12.557302897111965,-1,186,-1,-1,-1,12.557302897111965,-1,186,-1
185.18.250.27,14.449114940311137,-1,202,-1,-1,-1,14.449114940311137,-1,202,-1
185.18.250.28,13.149672298625033,-1,235,-1,-1,-1,13.149672298625033,-1,235,-1
185.18.250.29,13.33617371611509,-1,192,-1,-1,-1,13.33617371611509,-1,192,-1
185.18.250.30,12.882957174563169,-1,197,-1,-1,-1,12.882957174563169,-1,197,-1
185.18.250.31,9.642142255568386,-1,182,-1,-1,-1,9.642142255568386,-1,182,-1
185.18.250.32,13.388346047311503,-1,264,-1,-1,-1,13.388346047311503,-1,264,-1
185.18.250.33,16.070283384481097,-1,248,-1,-1,-1,16.070283384481097,-1,248,-1
185.18.250.34,10.669858661662717,-1,283,-1,-1,-1,10.669858661662717,-1,283,-1
185.18.250.35,14.078456280439724,-1,301,-1,-1,-1,14.078456280439724,-1,301,-1
185.18.250.36,15.037150219453439,-1,252,-1,-1,-1,15.037150219453439,-1,252,-1
185.18.250.37,10.511979386009243,-1,276,-1,-1,-1,10.511979386009243,-1,276,-1
185.18.250.38,9.258886117562113,-1,235,-1,-1,-1,9.258886117562113,-1,235,-1
185.18.250.39,7.760035340765726,-1,220,-1,-1,-1,7.760035340765726,-1,220,-1
185.18.250.40,10.673929635470564,-1,199,-1,-1,-1,10.673929635470564,-1,199,-1
185.18.250.41,10.045130258923477,-1,227,-1,-1,-1,10.045130258923477,-1,227,-1
185.18.250.42,14.111286189180763,-1,223,-1,-1,-1,14.111286189180763,-1,223,-1
185.18.250.43,10.96346806616356,-1,204,-1,-1,-1,10.96346806616356,-1,204,-1
185.18.250.44,12.06489392759281,-1,179,-1,-1,-1,12.06489392759281,-1,179,-1
185.18.250.45,14.52804255436546,-1,183,-1,-1,-1,14.52804255436546,-1,183,-1
185.18.250.46,12.176678181879348,-1,195,-1,-1,-1,12.176678181879348,-1,195,-1
185.18.250.47,13.354316302746472,-1,174,-1,-1,-1,13.354316302746472,-1,174,-1
185.18.250.48,13.942585270406791,-1,208,-1,-1,-1,13.942585270406791,-1,208,-1
185.18.250.49,14.052008062664015,-1,218,-1,-1,-1,14.052008062664015,-1,218,-1
